id,description
B,Precipitation total formed from two 12-hour totals
D,Precipitation total formed from four six-hour totals
H,Represents highest or lowest hourly temperature or average of hourly values
K,Converted from knots
L,Temperature appears to be lagged with respect to reported hour of observation
O,Converted from oktas
P,Identified as missing presumed zero
T,Trace of precipitation snowfall or snow depth
W,Converted from 16-point WBAN code for wind direction
